timer,fight_result,has_round_started,is_round_over,p1_id,p1_health,p1_x,p1_y,p1_jumping,p1_crouching,p1_in_move,p1_move_id,p2_id,p2_health,p2_x,p2_y,p2_jumping,p2_crouching,p2_in_move,p2_move_id,p1_btn_up,p1_btn_down,p1_btn_right,p1_btn_left,p1_btn_Y,p1_btn_B,p1_btn_X,p1_btn_A,p1_btn_L,p1_btn_R,p2_btn_up,p2_btn_down,p2_btn_right,p2_btn_left,p2_btn_Y,p2_btn_B,p2_btn_X,p2_btn_A,p2_btn_L,p2_btn_R
59,P2_WIN,False,False,11,14,189,189,True,False,True,11,6,63,130,228,True,True,True,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
34,P1_WIN,False,False,7,39,212,207,True,False,True,12,8,156,14,44,True,True,True,8,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
47,P1_WIN,True,True,4,141,358,26,True,True,True,9,11,62,351,230,True,False,True,3,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
27,P1_WIN,True,False,8,2,358,197,False,True,True,4,0,50,233,171,False,True,True,8,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
56,P2_WIN,True,True,5,23,324,115,False,False,False,10,0,123,186,69,False,True,True,19,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,P1_WIN,False,True,4,159,8,232,True,True,False,15,2,147,151,53,False,True,False,19,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,P2_WIN,True,False,6,21,237,157,False,False,True,18,5,7,282,26,False,True,False,0,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
87,NOT_OVER,False,True,1,24,222,53,False,True,False,13,7,113,287,174,False,True,False,9,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
87,P2_WIN,False,True,8,62,189,124,False,False,False,16,3,169,325,14,False,True,False,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,NOT_OVER,True,False,9,0,238,33,False,False,False,15,8,116,384,15,True,True,False,4,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
